"","monthyear_date","site","mths_since_irs_continuous","mths_since_irs","precip","precip_lag","count_previous_irs","count_irs_12_months","count_irs_24_months","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","month","time_cat"
"186",2017-03-01,"Alebtong",26,4,3.70110201835632,3.88481950759888,3,1,3,825,260,0.976969696969697,806,968,874,0.315151515151515,15.4424242424242,275,3,3
"187",2017-04-01,"Nagongera",27,10,17.4064426422119,7.31001758575439,3,1,3,721,161,0.463245492371706,334,1165,722,0.223300970873786,0.223300970873786,161,4,3
"188",2017-04-01,"Amolatar",27,6,15.494607925415,4.3216381072998,3,1,3,341,119,0.967741935483871,330,1011,349,0.348973607038123,2.79178885630499,122,4,3
"189",2017-04-01,"Dokolo",27,11,13.3120574951172,3.47009944915771,3,1,3,801,386,0.945068664169788,757,1261,813,0.481897627965044,5.78277153558052,392,4,3
"190",2017-04-01,"Orum",27,11,13.4078903198242,3.73121476173401,3,1,3,959,519,0.249217935349322,239,329,962,0.54118873826903,1.62356621480709,521,4,3
"191",2017-04-01,"Alebtong",27,5,10.6525316238403,3.70110201835632,3,1,3,947,533,0.966209081309398,915,476,969,0.562829989440338,12.3822597676874,545,4,3
"192",2017-05-01,"Nagongera",28,11,12.5360431671143,17.4064426422119,3,1,3,1059,382,0.713881019830028,756,1301,1063,0.360717658168083,1.44287063267233,383,5,3
"193",2017-05-01,"Amolatar",28,7,6.56931257247925,15.494607925415,3,1,3,571,303,0.996497373029772,569,833,576,0.530647985989492,2.65323992994746,306,5,3
"194",2017-05-01,"Dokolo",28,12,6.69686841964722,13.3120574951172,3,1,3,1538,832,0.971391417425228,1494,1953,1552,0.540962288686606,7.57347204161248,840,5,3
"195",2017-05-01,"Orum",28,12,9.25548553466797,13.4078903198242,3,1,3,1019,547,0.0382728164867517,39,432,1020,0.536800785083415,0.536800785083415,548,5,3
"196",2017-05-01,"Alebtong",28,6,7.54244804382324,10.6525316238403,3,1,3,1379,895,0.969543147208122,1337,948,1426,0.64902102973169,30.5039883973894,926,5,3
"197",2017-06-01,"Nagongera",29,12,12.2008457183838,12.5360431671143,3,1,3,939,328,0.674121405750799,633,1289,951,0.349307774227902,4.19169329073482,332,6,3
"198",2017-06-01,"Amolatar",29,1,10.1010608673096,6.56931257247925,4,2,4,563,185,0.989342806394316,557,1112,587,0.328596802841918,7.88632326820604,193,6,3
"199",2017-06-01,"Dokolo",29,1,12.3815097808838,6.69686841964722,4,1,4,692,202,0.247109826589595,171,1320,694,0.291907514450867,0.583815028901734,203,6,3
"200",2017-06-01,"Orum",29,13,14.0121459960938,9.25548553466797,3,0,3,1182,763,0.0143824027072758,17,378,1185,0.645516074450085,1.93654822335025,765,6,3
"201",2017-06-01,"Alebtong",29,1,13.1560220718384,7.54244804382324,4,2,4,1078,512,0.961966604823748,1037,513,1111,0.474953617810761,15.6734693877551,528,6,3
"202",2017-07-01,"Nagongera",30,13,2.50085496902466,12.2008457183838,3,0,2,826,418,0.351089588377724,290,1189,837,0.506053268765133,5.56658595641646,424,7,3
"203",2017-07-01,"Amolatar",30,2,1.26413774490356,10.1010608673096,4,2,3,456,61,0.975877192982456,445,1027,459,0.133771929824561,0.401315789473684,61,7,3
"204",2017-07-01,"Dokolo",30,2,2.45218944549561,12.3815097808838,4,1,3,700,221,0.907142857142857,635,1713,713,0.315714285714286,4.10428571428571,225,7,3
"205",2017-07-01,"Orum",30,14,1.89258670806885,14.0121459960938,3,0,2,961,539,0.00416233090530697,4,342,962,0.560874089490114,0.560874089490114,540,7,3
"206",2017-07-01,"Alebtong",30,2,2.28235554695129,13.1560220718384,4,2,3,1123,392,0.953695458593054,1071,632,1150,0.34906500445236,9.42475512021371,401,7,3
"207",2017-08-01,"Nagongera",31,14,9.00151443481445,2.50085496902466,3,0,2,716,153,0.33659217877095,241,1122,717,0.213687150837989,0.213687150837989,153,8,3
"208",2017-08-01,"Amolatar",31,3,4.25469398498535,1.26413774490356,4,2,3,437,31,0.88558352402746,387,1116,439,0.0709382151029748,0.14187643020595,31,8,3
"209",2017-08-01,"Dokolo",31,3,4.39924669265747,2.45218944549561,4,1,3,1023,144,0.742913000977517,760,1629,1028,0.140762463343109,0.703812316715543,145,8,3
"210",2017-08-01,"Orum",31,15,5.31685543060303,1.89258670806885,3,0,2,625,310,0,0,438,629,0.496,1.984,312,8,3
"211",2017-08-01,"Alebtong",31,3,4.08980369567871,2.28235554695129,4,2,3,859,161,0.973224679860303,836,476,900,0.187427240977881,7.68451688009313,169,8,3
"212",2017-09-01,"Nagongera",32,15,5.59831857681274,9.00151443481445,3,1,3,369,59,0.780487804878049,288,951,371,0.159891598915989,0.319783197831978,59,9,3
"213",2017-09-01,"Amolatar",32,4,12.7259101867676,4.25469398498535,4,2,3,267,25,0.955056179775281,255,861,269,0.0936329588014981,0.187265917602996,25,9,3
"214",2017-09-01,"Dokolo",32,4,10.9350614547729,4.39924669265747,4,1,3,841,75,0.461355529131986,388,1512,843,0.089179548156956,0.178359096313912,75,9,3
"215",2017-09-01,"Orum",32,1,12.8543586730957,5.31685543060303,4,1,3,602,264,0,0,371,602,0.438538205980066,0,264,9,3
"216",2017-09-01,"Alebtong",32,4,13.0881156921387,4.08980369567871,4,2,3,748,104,0.961229946524064,719,685,792,0.13903743315508,6.11764705882353,110,9,3
"217",2017-10-01,"Nagongera",33,1,12.369873046875,5.59831857681274,4,1,3,277,57,0.487364620938628,135,1350,278,0.205776173285199,0.205776173285199,57,10,3
"218",2017-10-01,"Amolatar",33,5,8.96688270568848,12.7259101867676,4,2,3,365,35,0.93972602739726,343,1056,380,0.0958904109589041,1.43835616438356,36,10,3
"219",2017-10-01,"Dokolo",33,5,11.5200071334839,10.9350614547729,4,1,3,995,110,0.982914572864322,978,1738,1008,0.110552763819095,1.43718592964824,111,10,3
"220",2017-10-01,"Orum",33,2,12.4425830841064,12.8543586730957,4,1,3,696,458,0.0014367816091954,1,325,696,0.658045977011494,0,458,10,3
"221",2017-10-01,"Alebtong",33,5,12.1157283782959,13.0881156921387,4,2,3,903,155,0.980066445182724,885,975,967,0.171650055370986,10.9856035437431,166,10,3
"222",2017-11-01,"Nagongera",34,2,8.52497482299805,12.369873046875,4,1,3,292,53,0.643835616438356,188,1168,292,0.181506849315068,0,53,11,3
"223",2017-11-01,"Amolatar",34,6,11.8585557937622,8.96688270568848,4,1,2,225,20,0.795555555555556,179,997,230,0.0888888888888889,0.444444444444444,20,11,3
"224",2017-11-01,"Dokolo",34,6,14.2138109207153,11.5200071334839,4,1,2,1201,111,0.995004163197336,1195,1548,1202,0.0924229808492923,0.0924229808492923,111,11,3
"225",2017-11-01,"Orum",34,3,13.0482139587402,12.4425830841064,4,1,3,621,217,0.449275362318841,279,319,622,0.349436392914654,0.349436392914654,217,11,3
"226",2017-11-01,"Alebtong",34,6,15.1139907836914,12.1157283782959,4,2,2,796,135,0.976130653266332,777,1037,860,0.169597989949749,10.8542713567839,146,11,3
"227",2017-12-01,"Nagongera",35,3,26.398983001709,8.52497482299805,4,1,2,342,31,0.391812865497076,134,799,342,0.0906432748538012,0,31,12,3
"228",2017-12-01,"Amolatar",35,7,9.16288757324219,11.8585557937622,4,1,2,208,10,0.923076923076923,192,728,209,0.0480769230769231,0.0480769230769231,10,12,3
"229",2017-12-01,"Dokolo",35,7,12.0262517929077,14.2138109207153,4,1,2,559,51,0.967799642218247,541,1017,560,0.0912343470483005,0.0912343470483005,51,12,3
"230",2017-12-01,"Orum",35,4,13.9267921447754,13.0482139587402,4,1,2,277,65,0.913357400722022,253,511,277,0.234657039711191,0,65,12,3
"231",2017-12-01,"Alebtong",35,7,11.0605192184448,15.1139907836914,4,1,2,464,91,0.976293103448276,453,706,531,0.196120689655172,13.1400862068966,104,12,3
"232",2018-01-01,"Nagongera",36,4,21.8882026672363,26.398983001709,4,1,2,514,32,0.501945525291829,258,912,514,0.0622568093385214,0,32,1,3
"233",2018-01-01,"Amolatar",36,8,12.4479846954346,9.16288757324219,4,1,2,267,10,0.973782771535581,260,755,267,0.0374531835205993,0,10,1,3
"234",2018-01-01,"Dokolo",36,8,16.863618850708,12.0262517929077,4,1,2,777,48,0.957528957528958,744,1495,779,0.0617760617760618,0.123552123552124,48,1,3
"235",2018-01-01,"Orum",36,5,10.4619903564453,13.9267921447754,4,1,2,276,49,0.684782608695652,189,744,276,0.177536231884058,0,49,1,3
"236",2018-01-01,"Alebtong",36,8,9.24518394470215,11.0605192184448,4,1,2,462,53,0.963203463203463,445,811,496,0.114718614718615,3.9004329004329,57,1,3
"237",2018-02-01,"Nagongera",37,5,12.1229791641235,21.8882026672363,4,1,2,339,34,0.610619469026549,207,1130,340,0.100294985250737,0.100294985250737,34,2,4
"238",2018-02-01,"Amolatar",37,9,8.50797557830811,12.4479846954346,4,1,2,266,12,0.984962406015038,262,998,266,0.0451127819548872,0,12,2,4
"239",2018-02-01,"Dokolo",37,9,7.29498386383057,16.863618850708,4,1,2,559,41,0.991055456171735,554,732,560,0.073345259391771,0.073345259391771,41,2,4
"240",2018-02-01,"Orum",37,6,7.61942195892334,10.4619903564453,4,1,2,286,57,0.297202797202797,85,585,286,0.199300699300699,0,57,2,4
"241",2018-02-01,"Alebtong",37,9,7.96358633041382,9.24518394470215,4,1,2,284,43,0.98943661971831,281,700,307,0.151408450704225,3.48239436619718,46,2,4
"242",2018-03-01,"Nagongera",38,6,30.2296142578125,12.1229791641235,4,1,2,295,21,0.861016949152542,254,952,296,0.0711864406779661,0.0711864406779661,21,3,4
"243",2018-03-01,"Amolatar",38,10,13.4644451141357,8.50797557830811,4,1,2,264,13,0.931818181818182,246,1053,264,0.0492424242424242,0,13,3,4
"244",2018-03-01,"Dokolo",38,10,9.34260177612305,7.29498386383057,4,1,2,715,47,0.998601398601399,714,1263,715,0.0657342657342657,0,47,3,4
"245",2018-03-01,"Orum",38,7,11.4052019119263,7.61942195892334,4,1,2,307,60,0.807817589576547,248,619,307,0.195439739413681,0,60,3,4
"246",2018-03-01,"Alebtong",38,10,11.7143363952637,7.96358633041382,4,1,2,439,70,0.972665148063781,427,853,489,0.159453302961276,7.97266514806378,78,3,4
"247",2018-04-01,"Nagongera",39,7,25.8861103057861,30.2296142578125,4,1,2,338,21,0.866863905325444,293,1077,338,0.0621301775147929,0,21,4,4
"248",2018-04-01,"Amolatar",39,11,28.9743690490723,13.4644451141357,4,1,2,395,12,0.972151898734177,384,957,395,0.030379746835443,0,12,4,4
"249",2018-04-01,"Dokolo",39,11,28.4804821014404,9.34260177612305,4,1,2,835,40,0.978443113772455,817,1156,843,0.0479041916167665,0.383233532934132,40,4,4
"250",2018-04-01,"Orum",39,8,34.7385902404785,11.4052019119263,4,1,2,421,68,0.914489311163896,385,524,421,0.161520190023753,0,68,4,4
"251",2018-04-01,"Alebtong",39,11,25.737283706665,11.7143363952637,4,1,2,457,54,0.962800875273523,440,523,471,0.118161925601751,1.65426695842451,56,4,4
"252",2018-05-01,"Nagongera",40,8,27.6110572814941,25.8861103057861,4,1,2,578,70,0.444636678200692,257,1157,578,0.121107266435986,0,70,5,4
"253",2018-05-01,"Amolatar",40,1,15.2790794372559,28.9743690490723,5,2,3,391,9,0.920716112531969,360,1173,392,0.0230179028132992,0.0230179028132992,9,5,4
"254",2018-05-01,"Dokolo",40,1,20.2153606414795,28.4804821014404,5,2,3,943,52,0.99575821845175,939,1312,945,0.0551431601272534,0.110286320254507,52,5,4
"255",2018-05-01,"Orum",40,9,16.8591346740723,34.7385902404785,4,1,2,388,62,0.981958762886598,381,569,388,0.15979381443299,0,62,5,4
"256",2018-05-01,"Alebtong",40,1,16.6759567260742,25.737283706665,5,2,3,474,45,0.974683544303797,462,1093,513,0.0949367088607595,3.70253164556962,49,5,4
"257",2018-06-01,"Nagongera",41,9,11.2373809814453,27.6110572814941,4,1,2,701,96,0.2339514978602,164,904,702,0.136947218259629,0.136947218259629,96,6,4
"258",2018-06-01,"Amolatar",41,2,6.26589393615723,15.2790794372559,5,1,3,309,22,0.928802588996764,287,1132,309,0.0711974110032362,0,22,6,4
"259",2018-06-01,"Dokolo",41,2,7.82128381729126,20.2153606414795,5,1,2,603,20,0.948590381426202,572,1528,612,0.033167495854063,0.298507462686567,20,6,4
"260",2018-06-01,"Orum",41,10,8.37909317016602,16.8591346740723,4,1,1,461,98,0.754880694143167,348,564,461,0.212581344902386,0,98,6,4
"261",2018-06-01,"Alebtong",41,2,8.51151943206787,16.6759567260742,5,1,3,527,54,0.916508538899431,483,780,540,0.10246679316888,1.33206831119545,55,6,4
"262",2018-07-01,"Nagongera",42,10,1.9369295835495,11.2373809814453,4,1,1,760,66,0.103947368421053,79,798,760,0.0868421052631579,0,66,7,4
"263",2018-07-01,"Amolatar",42,3,1.07945203781128,6.26589393615723,5,1,3,236,9,0.834745762711864,197,997,236,0.038135593220339,0,9,7,4
"264",2018-07-01,"Dokolo",42,3,2.05485582351685,7.82128381729126,5,1,2,547,33,0.987202925045704,540,2118,548,0.0603290676416819,0.0603290676416819,33,7,4
"265",2018-07-01,"Orum",42,11,1.56844830513,8.37909317016602,4,1,1,549,94,0.85792349726776,471,611,549,0.171220400728597,0,94,7,4
