"","monthyear_date","site","mths_since_stop","precip","precip_lag","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","time_cat","month"
"16",2014-04-01,"Aboke",0,5.73890018463135,5.13825368881226,253,63,0.743083003952569,188,1159,255,0.24901185770751,0.49802371541502,63,0,4
"17",2014-05-01,"Aduku",1,9.20201015472412,6.22757005691528,636,75,0.0471698113207547,30,940,636,0.117924528301887,0,75,1,5
"18",2014-05-01,"Anyeke",0,9.27893352508545,5.3459644317627,250,129,0.996,249,317,317,0.516,34.572,164,0,5
"19",2014-05-01,"Aboke",0,9.7011890411377,5.73890018463135,761,380,0.700394218134034,533,1407,765,0.49934296977661,1.99737187910644,382,0,5
"20",2014-06-01,"Aduku",2,11.0305452346802,9.20201015472412,366,64,0.213114754098361,78,882,368,0.174863387978142,0.349726775956284,64,1,6
"21",2014-06-01,"Anyeke",0,10.6143493652344,9.27893352508545,390,127,1,390,1782,590,0.325641025641026,65.1282051282051,192,0,6
"22",2014-06-01,"Aboke",0,10.4415454864502,9.7011890411377,477,131,0.532494758909853,254,1100,480,0.274633123689727,0.823899371069182,132,0,6
"23",2014-07-01,"Aduku",3,1.95310974121094,11.0305452346802,367,66,0.212534059945504,78,1013,369,0.17983651226158,0.359673024523161,66,1,7
"24",2014-07-01,"Anyeke",0,1.17959880828857,10.6143493652344,269,80,0.981412639405205,264,1960,408,0.297397769516729,41.3382899628253,121,0,7
"25",2014-07-01,"Aboke",0,1.49362874031067,10.4415454864502,682,56,0.302052785923754,206,698,682,0.0821114369501466,0,56,0,7
"26",2014-08-01,"Aduku",4,3.23827123641968,1.95310974121094,236,31,0.457627118644068,108,643,236,0.13135593220339,0,31,1,8
"27",2014-08-01,"Anyeke",0,2.3491199016571,1.17959880828857,298,61,1,298,1456,354,0.204697986577181,11.4630872483221,72,0,8
"28",2014-08-01,"Aboke",0,2.72672700881958,1.49362874031067,319,47,0.830721003134796,265,702,320,0.147335423197492,0.147335423197492,47,0,8
"29",2014-09-01,"Aduku",5,11.6323270797729,3.23827123641968,205,35,0.341463414634146,70,817,205,0.170731707317073,0,35,1,9
"30",2014-09-01,"Anyeke",0,14.42653465271,2.3491199016571,324,51,0.975308641975309,316,1527,398,0.157407407407407,11.6481481481481,63,0,9
"31",2014-09-01,"Aboke",0,14.2765598297119,2.72672700881958,455,51,0.676923076923077,308,1047,456,0.112087912087912,0.112087912087912,51,0,9
"32",2014-10-01,"Aduku",6,7.7576265335083,11.6323270797729,249,46,0.196787148594378,49,965,251,0.184738955823293,0.369477911646586,46,1,10
"33",2014-10-01,"Anyeke",0,7.16165590286255,14.42653465271,382,71,1,382,1671,505,0.18586387434555,22.8612565445026,94,0,10
"34",2014-10-01,"Aboke",0,8.93815612792969,14.2765598297119,329,63,0.768996960486322,253,1295,330,0.191489361702128,0.191489361702128,63,0,10
"35",2014-11-01,"Aduku",7,21.7019481658936,7.7576265335083,452,126,0.18141592920354,82,929,464,0.278761061946903,3.34513274336283,129,1,11
"36",2014-11-01,"Anyeke",0,19.7798004150391,7.16165590286255,369,93,0.997289972899729,368,2185,472,0.252032520325203,25.9593495934959,119,0,11
"37",2014-11-01,"Aboke",0,19.7774677276611,8.93815612792969,295,94,0.945762711864407,279,1781,303,0.31864406779661,2.54915254237288,97,0,11
"38",2014-12-01,"Aduku",8,9.30847454071045,21.7019481658936,655,290,0.543511450381679,356,516,671,0.442748091603053,7.08396946564886,297,1,12
"39",2014-12-01,"Anyeke",1,8.69712162017822,19.7798004150391,159,27,1,159,1296,209,0.169811320754717,8.49056603773585,35,1,12
"40",2014-12-01,"Aboke",1,9.17930603027344,19.7774677276611,165,35,0.96969696969697,160,1332,173,0.212121212121212,1.6969696969697,37,1,12
"41",2015-01-01,"Aduku",9,11.8771696090698,9.30847454071045,408,180,0.5,204,660,484,0.441176470588235,33.5294117647059,214,1,1
"42",2015-01-01,"Anyeke",2,6.75312519073486,8.69712162017822,290,43,1,290,1665,374,0.148275862068966,12.4551724137931,55,1,1
"43",2015-01-01,"Aboke",2,7.00227499008179,9.17930603027344,56,19,0.964285714285714,54,1309,80,0.339285714285714,8.14285714285714,27,1,1
"44",2015-02-01,"Aduku",10,9.90209770202637,11.8771696090698,366,70,0.439890710382514,161,764,410,0.191256830601093,8.41530054644809,78,2,2
"45",2015-02-01,"Anyeke",3,6.99963760375977,6.75312519073486,350,50,0.997142857142857,349,1830,425,0.142857142857143,10.7142857142857,61,1,2
"46",2015-02-01,"Aboke",3,9.2957820892334,7.00227499008179,64,41,0.984375,63,1347,82,0.640625,11.53125,53,1,2
